time,obj,cube_scale,topk,seed,ee_index,ik_iters,ik_attempts,joint_force,descent_step,descend_clear,vel_close,pos_close,squeeze,fast,fast_scale,n_trials,success_count,success_rate
2025-11-01 19:55:23,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 20:05:17,cube.urdf,0.08,12,3,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 20:15:25,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 20:25:41,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 20:35:40,cube.urdf,0.08,12,3,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 20:45:22,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 20:55:22,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 21:05:29,cube.urdf,0.08,12,3,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 21:15:44,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 21:25:55,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 21:36:11,cube.urdf,0.08,12,3,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 21:44:16,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 21:52:29,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 22:00:48,cube.urdf,0.08,12,3,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 22:08:52,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 22:17:16,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 22:25:39,cube.urdf,0.08,12,3,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 22:36:13,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 22:47:08,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 22:58:44,cube.urdf,0.08,12,3,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 23:10:01,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 23:21:23,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 23:31:24,cube.urdf,0.08,12,3,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 23:41:39,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-01 23:51:36,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-02 00:01:32,cube.urdf,0.08,12,3,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-02 00:11:35,cube.urdf,0.08,12,1,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
2025-11-02 00:21:53,cube.urdf,0.08,12,2,11,400,5,900.0,0.002,0.02,0.3,950.0,0.4,1,0.85,12,12,1.0
